"species_id","group_id","behavior","domains","behavior_id","Ordr","Class"
"Megaptera_novaeangliae",700028,"Gulf of Maine humpback whales lobtail feeding","foraging",34,"Cetacea","Mammalia"
"Megaptera_novaeangliae",700087,"Southern Hemisphere Group V humpback whale song variants","vocal communication",94,"Cetacea","Mammalia"
"Megaptera_novaeangliae",700058,"North Pacific humpback whale metapopulation song","mating",65,"Cetacea","Mammalia"
"Megaptera_novaeangliae",700058,"North Pacific humpback whale metapopulation song","vocal communication",65,"Cetacea","Mammalia"
"Melospiza_georgiana",700010,"Conneaut Lake swamp sparrows broken syntax songs","mating",14,"Passeriformes","Aves"
"Melospiza_georgiana",700010,"Conneaut Lake swamp sparrows broken syntax songs","vocal communication",14,"Passeriformes","Aves"
"Meriones_unguiculatus",700051,"Mongolian gerbil Family 1 vocal dialect","vocal communication",58,"Rodentia","Mammalia"
"Meriones_unguiculatus",700051,"Mongolian gerbil Family 1 vocal dialect","social",58,"Rodentia","Mammalia"
"Molothrus_ater",700011,"Convict dialect brown-headed cowbirds flight whistle dialect","vocal communication",15,"Passeriformes","Aves"
"Molothrus_ater",700044,"Lee Vining dialect brown-headed cowbirds flight whistle dialect","mating",50,"Passeriformes","Aves"
"Molothrus_ater",700044,"Lee Vining dialect brown-headed cowbirds flight whistle dialect","vocal communication",50,"Passeriformes","Aves"
"Molothrus_ater",700011,"Convict dialect brown-headed cowbirds flight whistle dialect","mating",15,"Passeriformes","Aves"
"Myiomela_major",700067,"Ooty shortwings song","vocal communication",74,"Passeriformes","Aves"
"Myiomela_major",700067,"Ooty shortwings song","mating",74,"Passeriformes","Aves"
"Orcinus_orca",700003,"Avacha acoustic clan discrete calls","social",5,"Cetacea","Mammalia"
"Orcinus_orca",700003,"Avacha acoustic clan discrete calls","vocal communication",5,"Cetacea","Mammalia"
"Orcinus_orca",700093,"T-type killer whales discrete calls","foraging",104,"Cetacea","Mammalia"
"Orcinus_orca",700088,"Southern Resident killer whales discrete calls","vocal communication",97,"Cetacea","Mammalia"
"Orcinus_orca",700074,"R-type killer whales groundfish depredation","foraging",80,"Cetacea","Mammalia"
"Orcinus_orca",700039,"K20 acoustic clan discrete calls","social",45,"Cetacea","Mammalia"
"Orcinus_orca",700088,"Southern Resident killer whales porpoise harassment","play",96,"Cetacea","Mammalia"
"Orcinus_orca",700038,"K19 acoustic clan discrete calls","vocal communication",44,"Cetacea","Mammalia"
"Orcinus_orca",700060,"Northern Resident killer whales whistles","vocal communication",67,"Cetacea","Mammalia"
"Orcinus_orca",700088,"Southern Resident killer whales whistles","vocal communication",95,"Cetacea","Mammalia"
"Orcinus_orca",700088,"Southern Resident killer whales porpoise harassment","social",96,"Cetacea","Mammalia"
"Orcinus_orca",700060,"Northern Resident killer whales whistles","social",67,"Cetacea","Mammalia"
"Orcinus_orca",700039,"K20 acoustic clan discrete calls","vocal communication",45,"Cetacea","Mammalia"
"Orcinus_orca",700038,"K19 acoustic clan discrete calls","social",44,"Cetacea","Mammalia"
"Orcinus_orca",700074,"R-type killer whales groundfish depredation","social",80,"Cetacea","Mammalia"
"Orcinus_orca",700093,"T-type killer whales whistles","foraging",105,"Cetacea","Mammalia"
"Orcinus_orca",700093,"T-type killer whales discrete calls","social",104,"Cetacea","Mammalia"
"Orcinus_orca",700088,"Southern Resident killer whales whistles","social",95,"Cetacea","Mammalia"
"Otis_tarda",700047,"Madrid great bustards migratory behavior","migration",55,"Otidiformes","Aves"
"Pampa_curvipennis",700063,"nSMO sabrewings song dialect","mating",70,"Apodiformes","Aves"
"Pampa_curvipennis",700063,"nSMO sabrewings song dialect","vocal communication",70,"Apodiformes","Aves"
"Pan_paniscus",700045,"Lomako bonobos duiker hunting","foraging",52,"Primates","Mammalia"
"Pan_paniscus",700045,"Lomako bonobos food rub","foraging",54,"Primates","Mammalia"
"Pan_paniscus",700045,"Lomako bonobos forage wade","foraging",51,"Primates","Mammalia"
"Pan_paniscus",700045,"Lomako bonobos leaf cover","architecture",53,"Primates","Mammalia"
